/root/miniconda3/envs/subset/lib/python3.9/site-packages/torch/nn/modules/transformer.py:508: UserWarning: The PyTorch API of nested tensors is in prototype stage and will change in the near future. We recommend specifying layout=torch.jagged when constructing a nested tensor, as this layout receives active development, has better operator coverage, and works with torch.compile. (Triggered internally at /pytorch/aten/src/ATen/NestedTensorImpl.cpp:178.)
  output = torch._nested_tensor_from_mask(
--- DTA Baseline: Hard Random (Ratio: 0.6) ---

>>> [Stage 0] Sampling...

[Sampler] Running Hard Random | Target: 14973/24956 (60.0%)
[P1] Ep 80: Loss 0.4204 | Val MAE 1.6172
[P1] Ep 81: Loss 0.4119 | Val MAE 1.8287
[P1] Ep 82: Loss 0.4080 | Val MAE 1.8168
[P1] Ep 83: Loss 0.4143 | Val MAE 1.8010
[P1] Ep 84: Loss 0.4042 | Val MAE 1.8096
[P1] Ep 85: Loss 0.3982 | Val MAE 1.8306
[P1] Ep 86: Loss 0.3969 | Val MAE 1.7801
[P1] Ep 87: Loss 0.4034 | Val MAE 1.7600
[P1] Ep 88: Loss 0.3892 | Val MAE 1.8557
[P1] Ep 89: Loss 0.3918 | Val MAE 1.7137
[P1] Ep 90: Loss 0.3949 | Val MAE 1.5694
[P1] Ep 91: Loss 0.3937 | Val MAE 1.7717
[P1] Ep 92: Loss 0.3876 | Val MAE 1.7213
[P1] Ep 93: Loss 0.3784 | Val MAE 1.6177
[P1] Ep 94: Loss 0.3834 | Val MAE 1.7438
[P1] Ep 95: Loss 0.3742 | Val MAE 1.7217
[P1] Ep 96: Loss 0.3745 | Val MAE 1.8674
[P1] Ep 97: Loss 0.3751 | Val MAE 1.7600
[P1] Ep 98: Loss 0.3793 | Val MAE 1.7888
[P1] Ep 99: Loss 0.3729 | Val MAE 1.7319
[P1] Ep 100: Loss 0.3651 | Val MAE 1.6742
[P1] Ep 101: Loss 0.3632 | Val MAE 1.7339
[P1] Ep 102: Loss 0.3635 | Val MAE 1.7661
[P1] Ep 103: Loss 0.3552 | Val MAE 1.5988
[P1] Ep 104: Loss 0.3598 | Val MAE 1.8132
[P1] Ep 105: Loss 0.3526 | Val MAE 1.8203
[P1] Ep 106: Loss 0.3490 | Val MAE 1.7128
[P1] Ep 107: Loss 0.3479 | Val MAE 1.5628
[P1] Ep 108: Loss 0.3441 | Val MAE 1.7935
[P1] Ep 109: Loss 0.3477 | Val MAE 1.7022
[P1] Ep 110: Loss 0.3369 | Val MAE 1.7031
[P1] Ep 111: Loss 0.3416 | Val MAE 1.7689
[P1] Ep 112: Loss 0.3367 | Val MAE 1.7326
[P1] Ep 113: Loss 0.3338 | Val MAE 1.6358
[P1] Ep 114: Loss 0.3322 | Val MAE 1.7610
[P1] Ep 115: Loss 0.3272 | Val MAE 1.7552
[P1] Ep 116: Loss 0.3257 | Val MAE 1.7086
[P1] Ep 117: Loss 0.3264 | Val MAE 1.6926
[P1] Ep 118: Loss 0.3165 | Val MAE 1.6356
[P1] Ep 119: Loss 0.3153 | Val MAE 1.8063
[P1] Ep 120: Loss 0.3109 | Val MAE 1.7270
[P1] Ep 121: Loss 0.3103 | Val MAE 1.6911
[P1] Ep 122: Loss 0.3056 | Val MAE 1.6817
[P1] Ep 123: Loss 0.3197 | Val MAE 1.6046
[P1] Ep 124: Loss 0.3076 | Val MAE 1.6600
[P1] Ep 125: Loss 0.2983 | Val MAE 1.7445
[P1] Ep 126: Loss 0.3038 | Val MAE 1.7207
[P1] Ep 127: Loss 0.3041 | Val MAE 1.6205
[P1] Ep 128: Loss 0.2900 | Val MAE 1.7525
[P1] Ep 129: Loss 0.2926 | Val MAE 1.6714
[P1] Ep 130: Loss 0.2957 | Val MAE 1.7950
[P1] Ep 131: Loss 0.2934 | Val MAE 1.6314
[P1] Ep 132: Loss 0.2831 | Val MAE 1.7392
[P1] Ep 133: Loss 0.2889 | Val MAE 1.7054
[P1] Ep 134: Loss 0.2863 | Val MAE 1.7207
[P1] Ep 135: Loss 0.2788 | Val MAE 1.7501
[P1] Ep 136: Loss 0.2831 | Val MAE 1.6857
[P1] Ep 137: Loss 0.2817 | Val MAE 1.6806
[P1] Ep 138: Loss 0.2884 | Val MAE 1.6771
[P1] Ep 139: Loss 0.2699 | Val MAE 1.7971
[P1] Ep 140: Loss 0.2666 | Val MAE 1.7223
[P1] Ep 141: Loss 0.2652 | Val MAE 1.7993
[P1] Ep 142: Loss 0.2688 | Val MAE 1.6563
[P1] Ep 143: Loss 0.2635 | Val MAE 1.6884
[P1] Ep 144: Loss 0.2636 | Val MAE 1.6629
[P1] Ep 145: Loss 0.2665 | Val MAE 1.6790
[P1] Ep 146: Loss 0.2519 | Val MAE 1.7352
[P1] Ep 147: Loss 0.2565 | Val MAE 1.6674
[P1] Ep 148: Loss 0.2501 | Val MAE 1.7127
[P1] Ep 149: Loss 0.2560 | Val MAE 1.5821
[P1] Ep 150: Loss 0.2536 | Val MAE 1.6176
[P1] Ep 151: Loss 0.2465 | Val MAE 1.6992
[P1] Ep 152: Loss 0.2421 | Val MAE 1.6176
[P1] Ep 153: Loss 0.2477 | Val MAE 1.7030
[P1] Ep 154: Loss 0.2433 | Val MAE 1.5049
[P1] Ep 155: Loss 0.2388 | Val MAE 1.5682
[P1] Ep 156: Loss 0.2386 | Val MAE 1.6468
[P1] Ep 157: Loss 0.2378 | Val MAE 1.6206
[P1] Ep 158: Loss 0.2342 | Val MAE 1.7474
[P1] Ep 159: Loss 0.2314 | Val MAE 1.6833
[P1] Ep 160: Loss 0.2310 | Val MAE 1.6499
[P1] Ep 161: Loss 0.2325 | Val MAE 1.6830
[P1] Ep 162: Loss 0.2284 | Val MAE 1.6648
[P1] Ep 163: Loss 0.2267 | Val MAE 1.6064
[P1] Ep 164: Loss 0.2229 | Val MAE 1.5581
[P1] Ep 165: Loss 0.2264 | Val MAE 1.5826
[P1] Ep 166: Loss 0.2184 | Val MAE 1.6176
[P1] Ep 167: Loss 0.2199 | Val MAE 1.5977
[P1] Ep 168: Loss 0.2130 | Val MAE 1.6709
[P1] Ep 169: Loss 0.2096 | Val MAE 1.6026
[P1] Ep 170: Loss 0.2136 | Val MAE 1.6849
[P1] Ep 171: Loss 0.2094 | Val MAE 1.6374
[P1] Ep 172: Loss 0.2066 | Val MAE 1.6692
[P1] Ep 173: Loss 0.2064 | Val MAE 1.6161
[P1] Ep 174: Loss 0.2080 | Val MAE 1.6578
[P1] Ep 175: Loss 0.2047 | Val MAE 1.6036
[P1] Ep 176: Loss 0.2102 | Val MAE 1.5480
[P1] Ep 177: Loss 0.2027 | Val MAE 1.7066
[P1] Ep 178: Loss 0.1956 | Val MAE 1.6605
[P1] Ep 179: Loss 0.2002 | Val MAE 1.5472
[P1] Ep 180: Loss 0.1961 | Val MAE 1.6574
[P1] Ep 181: Loss 0.1938 | Val MAE 1.6163
[P1] Ep 182: Loss 0.1942 | Val MAE 1.5987
[P1] Ep 183: Loss 0.1909 | Val MAE 1.6972
[P1] Ep 184: Loss 0.1888 | Val MAE 1.7093
[P1] Ep 185: Loss 0.1890 | Val MAE 1.7146
[P1] Ep 186: Loss 0.1866 | Val MAE 1.5577
[P1] Ep 187: Loss 0.1860 | Val MAE 1.5863
[P1] Ep 188: Loss 0.1865 | Val MAE 1.6386
[P1] Ep 189: Loss 0.1823 | Val MAE 1.6475
[P1] Ep 190: Loss 0.1856 | Val MAE 1.6658
[P1] Ep 191: Loss 0.1845 | Val MAE 1.6422
[P1] Ep 192: Loss 0.1781 | Val MAE 1.6022
[P1] Ep 193: Loss 0.1829 | Val MAE 1.6371
[P1] Ep 194: Loss 0.1752 | Val MAE 1.7044
[P1] Ep 195: Loss 0.1767 | Val MAE 1.5811
[P1] Ep 196: Loss 0.1743 | Val MAE 1.6070
[P1] Ep 197: Loss 0.1770 | Val MAE 1.5821
[P1] Ep 198: Loss 0.1717 | Val MAE 1.6771
[P1] Ep 199: Loss 0.1696 | Val MAE 1.6508
[P1] Ep 200: Loss 0.1730 | Val MAE 1.5979

=== Phase 2: Target Fine-tuning ===
Freezing backbone layers...
[FT] Ep 1: Loss 7.8362 | Val MAE 1.3893 CI 0.5965
[FT] Ep 2: Loss 7.3024 | Val MAE 1.3141 CI 0.6023
[FT] Ep 3: Loss 6.9730 | Val MAE 1.2573 CI 0.6257
[FT] Ep 4: Loss 7.0926 | Val MAE 1.2339 CI 0.6374
[FT] Ep 5: Loss 6.4231 | Val MAE 1.2207 CI 0.6316
[FT] Ep 6: Loss 6.4700 | Val MAE 1.2187 CI 0.6257
[FT] Ep 7: Loss 6.1023 | Val MAE 1.2182 CI 0.6257
[FT] Ep 8: Loss 6.1478 | Val MAE 1.2221 CI 0.6491
[FT] Ep 9: Loss 5.9629 | Val MAE 1.2235 CI 0.6608
[FT] Ep 10: Loss 5.6767 | Val MAE 1.2249 CI 0.6608
[FT] Ep 11: Loss 5.5993 | Val MAE 1.2277 CI 0.6608
[FT] Ep 12: Loss 5.8031 | Val MAE 1.2273 CI 0.6784
[FT] Ep 13: Loss 5.5221 | Val MAE 1.2281 CI 0.6901
[FT] Ep 14: Loss 5.4778 | Val MAE 1.2262 CI 0.7018
[FT] Ep 15: Loss 5.3970 | Val MAE 1.2243 CI 0.6959
[FT] Ep 16: Loss 5.2980 | Val MAE 1.2214 CI 0.6901
[FT] Ep 17: Loss 5.1780 | Val MAE 1.2162 CI 0.6959
[FT] Ep 18: Loss 4.8860 | Val MAE 1.2119 CI 0.7135
[FT] Ep 19: Loss 5.0368 | Val MAE 1.2107 CI 0.7193
[FT] Ep 20: Loss 5.0058 | Val MAE 1.2170 CI 0.7193
[FT] Ep 21: Loss 5.1576 | Val MAE 1.2137 CI 0.7076
[FT] Ep 22: Loss 4.8687 | Val MAE 1.2091 CI 0.7076
[FT] Ep 23: Loss 4.8139 | Val MAE 1.2070 CI 0.7076
[FT] Ep 24: Loss 4.4963 | Val MAE 1.2009 CI 0.7193
[FT] Ep 25: Loss 4.6691 | Val MAE 1.1965 CI 0.7251
[FT] Ep 26: Loss 4.4666 | Val MAE 1.1877 CI 0.7193
[FT] Ep 27: Loss 4.6854 | Val MAE 1.1864 CI 0.7427
[FT] Ep 28: Loss 4.6564 | Val MAE 1.1810 CI 0.7544
[FT] Ep 29: Loss 4.6043 | Val MAE 1.1735 CI 0.7485
[FT] Ep 30: Loss 4.3876 | Val MAE 1.1693 CI 0.7427
[FT] Ep 31: Loss 4.7609 | Val MAE 1.1649 CI 0.7368
[FT] Ep 32: Loss 4.3795 | Val MAE 1.1615 CI 0.7368
[FT] Ep 33: Loss 4.1785 | Val MAE 1.1606 CI 0.7368
[FT] Ep 34: Loss 3.9250 | Val MAE 1.1603 CI 0.7485
[FT] Ep 35: Loss 4.2004 | Val MAE 1.1515 CI 0.7485
[FT] Ep 36: Loss 4.0970 | Val MAE 1.1424 CI 0.7368
[FT] Ep 37: Loss 4.1152 | Val MAE 1.1350 CI 0.7427
[FT] Ep 38: Loss 4.1740 | Val MAE 1.1305 CI 0.7485
[FT] Ep 39: Loss 4.0428 | Val MAE 1.1276 CI 0.7485
[FT] Ep 40: Loss 3.8242 | Val MAE 1.1264 CI 0.7485
[FT] Ep 41: Loss 3.8908 | Val MAE 1.1235 CI 0.7485
[FT] Ep 42: Loss 3.7542 | Val MAE 1.1258 CI 0.7427
[FT] Ep 43: Loss 3.6960 | Val MAE 1.1262 CI 0.7427
[FT] Ep 44: Loss 3.6447 | Val MAE 1.1252 CI 0.7485
[FT] Ep 45: Loss 3.9862 | Val MAE 1.1201 CI 0.7602
[FT] Ep 46: Loss 3.7521 | Val MAE 1.1163 CI 0.7544
[FT] Ep 47: Loss 3.6288 | Val MAE 1.1156 CI 0.7544
[FT] Ep 48: Loss 3.6613 | Val MAE 1.1125 CI 0.7544
[FT] Ep 49: Loss 3.5265 | Val MAE 1.1129 CI 0.7602
[FT] Ep 50: Loss 3.3070 | Val MAE 1.1126 CI 0.7602
[FT] Ep 51: Loss 3.2742 | Val MAE 1.1103 CI 0.7602
[FT] Ep 52: Loss 3.3812 | Val MAE 1.1098 CI 0.7602
[FT] Ep 53: Loss 3.6301 | Val MAE 1.1071 CI 0.7661
[FT] Ep 54: Loss 3.4350 | Val MAE 1.1015 CI 0.7719
[FT] Ep 55: Loss 3.5603 | Val MAE 1.0940 CI 0.7719
[FT] Ep 56: Loss 3.2620 | Val MAE 1.0879 CI 0.7778
[FT] Ep 57: Loss 3.0182 | Val MAE 1.0928 CI 0.7836
[FT] Ep 58: Loss 3.1202 | Val MAE 1.0977 CI 0.7719
[FT] Ep 59: Loss 3.2519 | Val MAE 1.0828 CI 0.7836
[FT] Ep 60: Loss 3.1174 | Val MAE 1.0793 CI 0.7836
[FT] Ep 61: Loss 2.7774 | Val MAE 1.0746 CI 0.7836
[FT] Ep 62: Loss 3.0088 | Val MAE 1.0757 CI 0.7895
[FT] Ep 63: Loss 2.9070 | Val MAE 1.0770 CI 0.7836
[FT] Ep 64: Loss 2.9394 | Val MAE 1.0826 CI 0.7778
[FT] Ep 65: Loss 2.7829 | Val MAE 1.0981 CI 0.7778
[FT] Ep 66: Loss 2.6144 | Val MAE 1.1057 CI 0.7719
[FT] Ep 67: Loss 2.7659 | Val MAE 1.1034 CI 0.7778
[FT] Ep 68: Loss 2.6314 | Val MAE 1.0876 CI 0.7778
[FT] Ep 69: Loss 2.6990 | Val MAE 1.0701 CI 0.7602
[FT] Ep 70: Loss 2.7736 | Val MAE 1.0647 CI 0.7661
[FT] Ep 71: Loss 2.9011 | Val MAE 1.0760 CI 0.7661
[FT] Ep 72: Loss 2.6297 | Val MAE 1.0754 CI 0.7661
[FT] Ep 73: Loss 2.5568 | Val MAE 1.0844 CI 0.7661
[FT] Ep 74: Loss 2.8056 | Val MAE 1.0629 CI 0.7778
[FT] Ep 75: Loss 2.7446 | Val MAE 1.0555 CI 0.7719
[FT] Ep 76: Loss 2.3655 | Val MAE 1.0614 CI 0.7719
[FT] Ep 77: Loss 2.5056 | Val MAE 1.0845 CI 0.7719
[FT] Ep 78: Loss 2.5095 | Val MAE 1.0735 CI 0.7778
[FT] Ep 79: Loss 2.2773 | Val MAE 1.0786 CI 0.7836
[FT] Ep 80: Loss 2.7232 | Val MAE 1.0706 CI 0.7778
[FT] Ep 81: Loss 2.2954 | Val MAE 1.0787 CI 0.7661
[FT] Ep 82: Loss 2.1683 | Val MAE 1.0849 CI 0.7602
[FT] Ep 83: Loss 2.3648 | Val MAE 1.0890 CI 0.7602
[FT] Ep 84: Loss 2.3829 | Val MAE 1.0957 CI 0.7602
[FT] Ep 85: Loss 2.4372 | Val MAE 1.1037 CI 0.7602
[FT] Ep 86: Loss 2.3697 | Val MAE 1.1093 CI 0.7602
[FT] Ep 87: Loss 2.0601 | Val MAE 1.1187 CI 0.7661
[FT] Ep 88: Loss 2.2725 | Val MAE 1.1258 CI 0.7719
[FT] Ep 89: Loss 2.1990 | Val MAE 1.1281 CI 0.7719
[FT] Ep 90: Loss 2.1147 | Val MAE 1.1317 CI 0.7778
[FT] Ep 91: Loss 1.9508 | Val MAE 1.1325 CI 0.7661
[FT] Ep 92: Loss 1.9185 | Val MAE 1.1338 CI 0.7602
[FT] Ep 93: Loss 2.3156 | Val MAE 1.1359 CI 0.7602
[FT] Ep 94: Loss 1.8382 | Val MAE 1.1409 CI 0.7661
[FT] Ep 95: Loss 2.0266 | Val MAE 1.1475 CI 0.7602
[FT] Ep 96: Loss 1.8903 | Val MAE 1.1607 CI 0.7544
[FT] Ep 97: Loss 2.0433 | Val MAE 1.1529 CI 0.7661
[FT] Ep 98: Loss 1.8920 | Val MAE 1.1390 CI 0.7544
[FT] Ep 99: Loss 1.9975 | Val MAE 1.1350 CI 0.7602
[FT] Ep 100: Loss 2.0350 | Val MAE 1.1398 CI 0.7602
[FT] Ep 101: Loss 1.8286 | Val MAE 1.1536 CI 0.7544
[FT] Ep 102: Loss 1.7779 | Val MAE 1.1654 CI 0.7485
[FT] Ep 103: Loss 1.9375 | Val MAE 1.1665 CI 0.7485
[FT] Ep 104: Loss 1.6906 | Val MAE 1.1731 CI 0.7427
[FT] Ep 105: Loss 2.0249 | Val MAE 1.1772 CI 0.7368
[FT] Ep 106: Loss 2.0401 | Val MAE 1.1787 CI 0.7310
[FT] Ep 107: Loss 1.6610 | Val MAE 1.1871 CI 0.7310
[FT] Ep 108: Loss 1.6812 | Val MAE 1.1995 CI 0.7251
[FT] Ep 109: Loss 1.8005 | Val MAE 1.2251 CI 0.7251
[FT] Ep 110: Loss 1.7437 | Val MAE 1.2162 CI 0.7310
[FT] Ep 111: Loss 1.6114 | Val MAE 1.2168 CI 0.7251
[FT] Ep 112: Loss 1.6989 | Val MAE 1.2160 CI 0.7193
[FT] Ep 113: Loss 1.8984 | Val MAE 1.2305 CI 0.7135
[FT] Ep 114: Loss 1.6703 | Val MAE 1.2347 CI 0.7076
[FT] Ep 115: Loss 1.9069 | Val MAE 1.2374 CI 0.7018
[FT] Ep 116: Loss 1.6629 | Val MAE 1.2417 CI 0.7076
[FT] Ep 117: Loss 1.6867 | Val MAE 1.2505 CI 0.7076
[FT] Ep 118: Loss 1.7576 | Val MAE 1.2468 CI 0.7076
[FT] Ep 119: Loss 1.5934 | Val MAE 1.2509 CI 0.7193
[FT] Ep 120: Loss 1.7464 | Val MAE 1.2460 CI 0.7135
[FT] Ep 121: Loss 1.7171 | Val MAE 1.2266 CI 0.7135
[FT] Ep 122: Loss 1.5515 | Val MAE 1.2167 CI 0.7427
[FT] Ep 123: Loss 1.6830 | Val MAE 1.2105 CI 0.7368
[FT] Ep 124: Loss 1.6521 | Val MAE 1.1994 CI 0.7368
[FT] Ep 125: Loss 1.5033 | Val MAE 1.2070 CI 0.7251
Early stopping triggered.

>>> Final Test Evaluation
------------------------------------------------------------
[BASELINE RESULT] Method: Hard Random
   MAE:  1.3817
   RMSE: 1.6175
   CI:   0.6632
   RM2:  0.1725
   MAPE: 25.22 %
   Acc:  20.00 %
------------------------------------------------------------
