formula,target
F7Fe1Na2Ni1,2.999453
Fe1P2,0.440765
C3Ca3Cl2,1.272873
Li2Mn1S4Sn1,1.985762
In4O7Rb2,1.4078469999999998
I3Ti1,0.049855
Cl2Zr1,0.894779
Cl1N2O6S5,1.13968
Ca1P2Zn2,0.890833
Cd1Cs3I5,2.773725
As1Cs3Se4,1.299365
Hg1O7S2,2.581604
B1H3,5.133896
F6K2Tc1,1.779723
Ag1Rb2S4Sb1,1.372531
Cl1O1V1,1.455572
I1O1Rb3,0.572152
Cu6Ge1S8W1,1.169469
C3Cl7Mo1O1S2,0.809299
B4H16Zr1,5.159096
C4Cs2I2N4Pt1,1.440837
Bi1C6Cs2N6Na1S6,2.719421
As3Na5Sn1,0.412032
S1Tl2,0.797775
C6Fe1N6Tl4,3.218315
C2F4Te2,1.664898
F6Li1Ru1,1.056554
Ca2Cl1Cr1O4,1.115088
Sb2Sr1Zn2,0.0
K8Tl10Zn1,0.011723
Ca2Fe1Ga1O5,2.082007
Cu1Ge1La3S7,1.87861
Ba1Bi2Mo4O16,2.853878
Ce1Ru4Sn6,0.0510400000000004
C3Cu1F3O3,3.145922
F6Hg4O1,0.151165
P2S6Ti1,1.378766
B9Mg1N1,1.673307
Al1Na1Te2,1.225844
Ca2Cd1P2,1.308224
O5Te2Tl2,2.641079
Li1Si1,0.025545
Cs3Cu5O4,1.946587
Ir1S2,0.503701
In2Pb1S4,1.386687
Cl4Hg3S2Zn1,0.044612
N2Sr2Zn1,0.555327
Ca7N9Nb1Si2,1.985529
K1Nb3O8,2.477313
Fe1I3O9,2.261842
Al1Bi2Br1Cl4Se2,1.141851
Ba1Rb1S4Ta1,2.453865
Ag2Ba1Hg2O4,1.210807
Co3S4,0.688738
Ga5Ir3,0.0
Cr1O7Rb1V2,2.107948
Mn1O3V1,0.202592
H1N1O4Zn1,2.003332
Li1Rb2S4V1,1.910986
Al2P4Sr3,1.3102009999999995
Ba1Ge3O9Sn1,2.629563
As2Cl9Cs3,2.590312
As3Na1Zn4,0.274882
Ba2Co1Cu2O2S2,1.351668
C5N4,5.469359
As1Br1Hg3S4,1.449609
Cl6Pb2Pd1,1.436867
Mn1Na1O4Rb2,1.76963
As5B1O20Pb6,3.03457
F6O4Os2,0.644224
F4O1Ru1,0.466013
I4O12,1.794837
B1N2Na3,1.742243
Al2Te5,0.924117
Cd2O4Sn1,0.385322
C6Cu1H4N8O4,1.557088
As2Cd1Ge1K1,0.6634659999999999
Ag1C4Co1O4,2.498679
Bi1K1O2,1.850708
Cd1P2Rb2Se6,1.750215
Cs1Ga3,0.0341279999999999
N2Ni1O6,3.436972
Ba3Cl1In1Se4,2.280779
Ge1K1La1S4,2.218824
Ga3Na2Sb3,0.195387
Co1Rb2S2,2.300903
Ag4O4S1Te1,0.864951
Ba1Ga2Se4,1.822198
Br5Re1Te3,1.267621
Li2O7P2Pd1,0.984654
H6K1O9S1V1,2.898817
Li1O2V1,1.65893
Ba8Co1Nb6O24,0.0
F12H2Sb2,2.278797
Ag1C1N1,2.940288
B1Ba2Cl17Zr6,1.076435
Ag1Bi1P2S6,1.166888
As2In1K2Na1,0.604702
Cl8Mn1Na6,4.260359
Mo2O9Zn3,2.635787
Bi2Pb3S6,0.191293
Mn1O4P1Rb1,3.355613
B2Ba1Se6,1.601147
O7P2Sn2,3.399954
Cr1F6Xe1,1.606111
Ag3C6Fe1N6,0.0
I4Si1,2.783004
Ag1O3Ta1,1.813109
Ag1Bi1Ca1,0.0
Cl2Cu2O1,0.869023
Ce1O14P5,3.863573
Li7N4V1,2.458405
Ba5D2Ga6,0.3640339999999997
Na2O7Te2,0.738316
Bi2S3,1.343032
Cd1F2,2.971267
I2O6Pb3Se2,2.685155
F3Hg1Rb1,0.581738
Cr4Cu1H4O16Rb2,1.597926
Cl2Si1,1.986507
H2O2Pb1,2.602162
Cs1P3Zn4,0.337595
Bi2Br7Cs1,2.828562
Ag1Br2Cs1,1.819333
Cl6Rb2Se1,2.577125
Ga1O2Tl1,2.034876
Cs3P7,2.359571
Ag3F6Na3O6W2,2.352382
Ag2Hg7I6P8,0.654831
K1Ni1P1S4,2.106923
As2Cu1Na4O8,1.804773
As4Cl1Cu1S3,1.8717
Br1Ca2N1,2.403572
Li3N4Nb1Sr2,2.062809
O2Pb1,0.025645
Li2Ni1O3,1.068959
Cl9Hg6In2P3,1.972574
Cl1Fe1O3Sr2,2.406924
Mg2S4Sn1,2.09648
Bi1Br1Cd1Se2,1.358812
F2S3Sn1Sr2,2.00427
Na1O11V6,0.247432
Ca2D6Fe1,1.570607
S5Sn2Tl2,1.425257
Ca2Cl1Cu1Nb3O10,0.097444
Au5O2Rb7,0.559758
C2Co3O10Se2,2.444577
Lu1Rb1Se2,1.980767
Al4C4Si1,0.0
Cl1Hf1N1,2.231317
O44Sn10W16,1.506324
Ga1Ge1Te1,0.054852
F6Ni1Pb1,2.24795
O3Sn1Tl2,1.190389
Al3C2O5Sc3,0.382891
As2Zn1,0.296561
O11Ti6,0.0
Ag2S4Si1Zn1,1.790905
Mg1O5V2,2.363828
Fe1K3O2,1.423892
Cr2H4Li2O9,2.607857
Be3N2,3.32618
Br9Cs5Nb2S4,1.768219
Cd2Cu1O8P2,1.681663
Ag2Se1,0.0
Ba1Cu1O7P2,1.591601
O6Sb2Zn1,0.732034
Ba2Ga1In1O5,1.439548
Fe1H2K1O9S2,1.993407
Ba1C4H6O7,2.622728
Br6Rb2Te1,2.018731
Ge2N6Sr5,1.354863
Ag1Br1H3N1,2.638943
Bi2O2Se3Sr2,1.1733320000000005
B2C2Ca1,0.4608259999999999
Ca3Co1O12Se4,2.951658
Cl6Mn1Rb2,0.568376
Co1K6S4,1.890025
Ba1Cl2Cu2O6Te2,1.31464
H1O5P1Zn2,3.926818
As4Se4,1.123393
Cu2H1K3O14P4,1.720319
As1K1O2,3.866478
Mg9Si5,0.0
Cu2S4Sn1Sr1,0.799745
S2W1,1.231629
Ni1P4Si3,0.356806
Cl7Mo2N1,0.204799
B4W1Y1,0.2038489999999999
H3N3Pb1S2,1.849866
Ba3Li4Sb4,0.0
I1Li1O4Zn1,3.250361
Cu1I3Na1O9,1.625197
Ba2Cs1Nb3O10,1.373612
C2La1Li1O6,4.2692890000000006
F12Sb2Xe1,2.733264
Cu2O5S2Sc2Sr3,2.145667
N1Sb1Sr3,0.233011
Cs2S3,1.34442
Cu2Fe1Ge1Se4,0.22998
Cs3I9Sb2,1.871418
Co1Cu1O7P2,0.736539
Ca1Cr1F6,1.563331
Cs2Sn1Te4,0.621514
Bi1Lu1O6Sr2,1.694097
O8P2Pb1Ti1,2.37792
Ag1N3,1.547412
Pd1Rb2Se16,0.830355
Cu1O3Si1,2.212713
As1K1Se2,1.480089
Na1O4Ti1Y1,2.31761
Li2S3Sn1,1.352377
B2F4,4.872491
Cr3Na1O8,1.673695
Ag1In1Te2,0.059662
F2O9Pb2Ti4,2.210192
F6Hg2O1Zn2,1.078527
C4N4Pt1Tl2,2.570265
Au3Rb3Sb2,1.194038
Hf1Pd1Sn1,0.397988
Cu3S3Sb1,0.788569
Na1O2Tl1,0.627477
H1Se1Y1,1.507568
Cl1N5S4,1.777917
Ba2O21Ta6Te2,2.803814
Cl6Cs2Ge1,2.138443
Al1Cs1Te3,1.287018
Br7In4,2.132279
Fe1P4,1.123308
Mg2S4Si1,2.979317
Cu2Ge1Mn1Se4,0.1996290000000002
Cs3Sb1Se3,2.228237
Cl5P4S5Ta1,2.090222
P2S7Zr1,1.560666
Bi1I1O2Sr1,2.861026
K3Sb1Se3,2.297282
Na3Sb1,0.401783
Cu1Mg1P1,0.101172
As1La1Te1,0.1377410000000001
La2Li1O6Ru1,0.307157
Bi2Se2Te1,0.786982
Pd1Rb2Se2,0.862341
Ba1La2S5Zn1,1.515163
Cr1Mo1O7V1,2.300566
C1F1La1N2,2.699647
Cl1Cu1Se2,1.068715
I10Pt1Y6,0.556153
In5S6Tl1,0.983601
O2Te1,2.840311
Cu2O7V2,1.4104230000000002
Cu1In1O5P1,1.727838
B1Na3S3,2.556167
Cl5K2O1Re1,0.654414
Li1Sb1Sr1,0.635774
C2Rb2,3.532628
Cl11Cs1Hg5,2.707992
Cu2Mg1Se4Si1,1.141407
Co1F3,1.800638
C4N4Ni1Zn1,4.643487
Br9Rb3Sb2,1.876948
C2H4Mn1O6,2.427008
Cl4Mo1O1,1.263702
In2Na2S6Si1,2.218551
Cs1F2O2P1,5.220706
Fe2Ni1O4,1.133013
Mn1S2,0.617894
Ge1Na2O3,2.863031
Ge2Na2Se5,1.295155
Mn1Na6O4,0.90344
Au1Cl1O1,1.078549
Br13Mo6Na1,2.064002
H1K3O1S4W1,2.36018
Cs1I3O13V2,1.808495
K3O4Sb1,1.746023
I1P7Sr2,2.026975
Al1H6I1O4,4.332996
Ba2Ce0.75O6Sb1,2.210363
As4Cd2Ge1,0.023816
Cu2Fe1Se4Si1,0.91416
Ag3K3Se8Ta2,1.882529
O14Pb3Te1V2Zn3,3.1681810000000006
Na1O8Rb3Ru2,0.639941
Ga1Rb2Sb2,1.030311
As1Ca1Rb1,1.292989
C4Hg1Mn1N4S4,2.462386
As6Ba2Cu7O24,0.896119
La2Na2O10Ti3,1.960984
B2Fe1O4,2.810311
Br5Sn2Tl1,2.348546
Bi2Nb2O9Pb1,1.182646
P1S3Sn1,1.533598
Ce1O2,2.145195
Cu3O6Te1,1.191695
Ag2Hg1O2,0.436652
Br1Cu1P4S3,1.93108
Cr1Li1Mo2O8,2.363708
Br3Cd1H4N1,2.722332
Fe1Na1O6Si2,2.730376
Cl2Hg2P1,1.477986
K2Pt1Te2,0.751092
As3Br1Hg2,0.822652
Cd1Cl1H1O1,2.47672
Hg1O4Se1,0.910668
Ba1Cu1O7Te2,1.102015
C1D1,3.295114
Au1F4Na1,2.129366
Cd1S2,1.168057
O2Os1,0.218449
Br4I2Pd1Rb2,0.65462
Cr2H4In1Na1O10,2.682221
Cs1O12Se2V3,2.326053
K2Pd3S4,1.193631
Br6Ta1Te2,1.159741
As2Ca1Cd2,0.203862
Cl4Hf1,4.101592
Cd1Cu2S4Si1,1.384628
Ca1N6,3.46289
Ga1H4Na1,4.605957
Cl6K2Pd1,1.20408
Co1Cs2I4,1.845058
Mo1Na4O5,2.645905
Au1F4Rb1,2.520906
Cu1Mg1O4V1,1.7876460000000003
Cl8Li6V1,3.336394
Na2S3Te1,1.476991
P11Rb3,1.898472
In1K2Na3O4,1.924489
Cu1Li1O1,0.0
Se2W1,1.389607
Cl1H1O3Pb3,2.148877
C3Cr2N6,1.602759
Ca1H2N2O9S2,2.538367
In3O12Sb5,2.335955
Cl4Co1Rb2,2.840069
Hf1La2Se5,0.765833
Br1Tl1,1.922267
O5P1Ta1,3.789964
Au1K1N4O12,2.162459
F8O2Pb1V2,3.301877
As1Bi1O4,2.735978
Cl2Cu1O6Se2Sr2,1.31458
Li2O5Si1V1,2.094396
Br2Co1O3Sb2,1.150983
Li2Nb2O7Sr1,1.750466
In1Ni2O6Sb1,1.643678
Bi1I1,0.701441
D26Mg7Sr6,2.938098
In2Mn1S4,1.6279
Bi2Se3,0.604029
Cl4Pb1,1.549965
Ca2Mn2O5,1.621237
Ba1Cu1La1Te3,0.933413
Ag3S2Tl1,0.904626
Cr2K3Na1O8,3.046173
O5S1Ti1,1.933927
Ag2Fe1K1O8V2,1.728862
Ce1K3O8P2,3.927397
Ag1Cl1O2,0.616087
Cl3Cr1,2.304683
Cu1Pd1Rb1Se5,1.0708
As2F12N2S1Se2,2.285268
Cl3O1W1,0.188778
F3Mn1Na2O7P2,0.395694
H1Li2N1,2.617815
K3Na1O8W2,4.830637
Ba1Ga1O7Y1Zn3,2.802234
Cs2Na3O4Tl1,1.352273
In2Mn1Te4,0.386251
Ca1Cu1Sb1,0.0
Ag1S2Sb1,1.307521
Cl6K4Mn1,3.725104
Ag2C4Cs1Cu1N4,2.690566
Br2Ca1H12O6,4.17453
Cu1S2Sc1,1.078491
I3O1W1,0.410766
Bi1Br1,0.086018
Cu2S4Sn1Zn1,0.574935
Cu1H12I4N4,1.421907
C2Cs2Pt1,1.242537
Br4Co1Rb2,2.442985
As1Bi1Co1O5,2.59845
N2O4,2.79669
O12P1Rb1S2Sb2,4.14415
Cs4In2S5,2.112931
Al1Cs1H8N4,3.160737
Ba1N2O6,3.590513
Bi2Cs2Se5Zn1,1.460914
Cl2H4O6Zn1,2.587978
F1Mn1Sb1Sr1,1.030068
Cu2H3N1O6,0.0
Mn1Se2,0.658055
C1Cs2I18Zr7,0.118526
F1Li1O4P1V1,1.747279
Ba5Nb4O15.33,2.610166
Cs1Mn1O12P4,1.655307
Cl2O5Sb4,2.635571
As1Cu1O4Pb1,2.056132
I3S24Sb1,2.36694
Au5Cs7O2,0.7678629999999997
Ag1Br1,0.671593
Ag1C1N1O1,3.154054
F3O2Tc1,2.73294
Al6Cd4O12Te1,2.606044
K1Na1Te1,1.939156
Ag1Te2Y1,0.8573310000000003
Cl2Co1O6Se2Sr2,2.909845
Ca1H2,0.535313
Cl6Rb2Ti1,2.063832
Ba3Cu2O10Pt1Y2,1.160379
Na2Nb4O19Se4,2.376003
Cr1F5,1.4087390000000002
La1Na1O4Ti1,2.305537
Ca1O1,3.642091
Cs2Cu3F12Zr1,1.907476
Cr5In1Se8,0.014434
Ru1Sb1Ta1,0.679681
C2N2S3,2.610255
Ce1O4P1,2.8849689999999995
I1O6Rb1Sn1,2.198208
H1Mn1O5Pb1V1,2.237348
Br6K2Te1,1.956349
Cl7Ir1Te7,1.381963
D2N1Rb1,1.974114
O4Sn1Sr2,2.615763
S1Sn1,0.120442
O4S1Sn1,2.634574
Mn4Nb2O9,2.357487
O10Sr4Ti3,1.729746
O3Pb2,0.0
P1Ru1Se1,0.286602
Pt1Si1Te1,0.315544
Fe1H10N4O8S2,3.807454
As1C3H6N1,4.301936
C1H8I1N5O3,2.222571
F6Mn1Na1Rb2,1.50429
Cr1O6Te1Y1,2.656566
Al0.75B0.25N1,3.366415
S3Tl2Zr1,0.796169
Be1Li1P1,1.147464
Cs1F4O10P3Ti2,2.585665
Ag1N1O3,1.75657
Ag6O2,0.0
Cs2Cu1Nb1Se4,1.751116
O3Sn1Ti1,0.990966
O9V5,0.429526
C1H5N3,4.304645
As2Fe4O11,2.198853
Na2O9Te4,2.622832
Cs4Fe1O4,0.773801
Ba2O4V1,1.576757
Cl9Re3,0.992488
B1F1O4Pb3,2.211115
Ni1O3Se1,3.232162
I1Li1O4,2.065052
La2O2S3Sn1,1.573122
Ba2Sn1Te5,0.0
As1Cl13P1Ta1,2.629029
Cs2Ge2S5,2.359826
Mn2O5Y1,0.407312
Cl8I1P1,1.542402
Fe1Ge2Na1O6,2.628904
Al2Ba3P4,1.2376049999999998
Cs3Ga1Se3,2.121079
Ag1La1O1S1,1.378346
Nb2O11Te3,2.411379
As4Ba3Cd2,0.0
H3K1Mg1,2.488871
I3S2Sb1Sn2,0.639576
As3Ba3Nb1O1,1.048929
Si,0.612995
Cl4Cr1Rb2,0.166703
B15Na1,0.0
Na1P1Zn1,1.17392
Mg1Na1Sb1,1.029784
Br4In1Na1,2.755391
Br2Cs1Re3S4,1.851611
Ca2Mn3O8,1.320645
As2Ba1Zn2,0.0
Ru2Si3,0.52476
Al2As3K3,1.11578
Cd1Se1,0.0
Br1H2Na1O5,3.167784
Cu2O2S2Sr2Zn1,1.512716
Au1Cr1S2,0.472664
Ag1Cu1S1,0.611795
Rb1Sb3Se5,0.680744
Cl1H4N1O2,3.053216
Ba1Cu4S3,0.8477640000000006
Cl6K2Re1,1.062661
Ge1Te5Tl2,0.025702
Cs1La1Nb2O7,1.413561
F5Nb1,4.334248
Cl2Nb1S2,1.457538
Br2C4N4Pt1Rb2,2.016567
Li14O14Pb3Rb2,1.902681
K1P1S3,1.689084
Cu1K1Te1,0.822158
As4Cu6Hg3S12,0.522287
Br1F3,1.809247
I1Li1O3,0.0
Cu2Fe5O24P6,0.696432
Fe1La1O3,2.515792
Se2Tl1Y1,1.199305
Cs3Cu1Hf2Te10,1.151789
C1H3N1Rb1,3.768041
C1Cl3H3Te1,2.853719
Cs2Mo1O1S3,1.888468
Br4H10O5Sn1,2.158262
Cr1Li1O4Rb1,2.964371
Fe1O4W1,1.90426
Cu3K1Te2,0.689303
Cu1Se3Tl1Zr1,0.459039
In1K1O2,2.07277
Ge1K2Se4,1.746176
Mn1Rb2Te2,2.247906
Cl2O11Te6,2.96739
Fe1Li1O4Si1,2.741828
As1F1Sr1Zn1,0.914581
Cs4Cu3F10,1.606947
Al1O1,0.0
Mn1O6Sb1Sr2,0.231956
Cr4K2O13,1.863657
Cr1O6Ta2,0.3411159999999995
As2Ge5Te8,0.198114
O7V2Zn2,2.761895
Bi2Nb2O9Sr1,2.416836
Cs4Sb2,0.198755
As2Ni2O7,2.704886
Au3Na1Si1,0.021943
Cr1Cs3F7,0.654963
F2Mn3O4Si1,2.880542
Ag1In1S2,0.287844
Nb1O8Rb3,2.674207
Bi2Ca4O1,0.739613
Ca1D4N2,2.710883
Ge2K2S5,2.248499
Nb2O6Sn1,1.574683
Ba1Cd1F1Sb1,0.276941
La1P2,0.461536
B2Ba1S4,2.672353
C8Cu1H16N8Ni1,1.911971
F6Na1Rb2Rh1,2.074637
Bi2Mn1Ni1O6,0.762703
C2Mg1,2.53457
Mo2O8Zr1,2.988982
C2Cl9La5,1.641525
Au1O8Rb1Se2,1.48912
Ge2Na2Se6Zn1,1.301343
Na4O12Ti5,2.396342
Ni1S5Ta2,0.0
F5H2K2O1V1,2.241763
H4O11P2Ti2,2.496952
Cu4O9P2,1.073561
C2Cd1Cl2H8N4S2,3.39462
Ga1Rb1S2,2.503325
Cs1P1Pb1S4,2.43815
Au1F12Sb2Xe2,0.521172
Ca1O10P2V2,1.712057
Cl12N1P2Ta1,2.886139
Ge1Hf1Te4,0.360579
Ba1Cu1Sb1,0.0
Ca1Ge2O6Zn1,2.565851
B1Ge1Li1O4,2.523743
As1Br1Hg3Se4,1.229076
Hg1Se4Sn1Tl2,0.695891
Sb2Sn1Zn1,0.026558
S4Ta1Tl3,2.523004
Bi1Ca3N1,0.3410599999999997
O1Tl2,0.4721
As1Br3Ca3,1.65122
Bi1Cl1Te1,1.274917
P4S13V2,1.409143
Fe1O6Ta2,2.153311
La1O9Sb3,1.659515
F11Na1V1Zr2,2.553835
K1La1S2,2.671083
As4Ca3Ge2,0.597727
Ge2P4Sr3,0.882765
Cs5Ga3Se7,2.143129
Cs1Cu2Ta1Te4,1.312084
F4O2Sn4,2.541079
Mg1P2Si1,1.318816
Ba2Fe1Se3,1.4793820000000002
In1La1O3,2.801759
F1O3Re1,2.708494
Fe1O8Rb1Se2,1.986282
B3Cu1Li3O7,2.079822
D4N1O4S1,3.539997
Ag2Cs2S4Ti1,1.525452
As3Na1O12Ti2,2.174764
Ga2Te4Zn1,1.085868
Bi3Na1O10V2,2.633159
Cd1Fe2O4,1.836297
Mo1O2Rb2S2,2.107857
C1H4Na4O9P2,2.127657
K1Li1Se1,2.56611
Cu2Ge1Se3,0.057361
Na1P1Sr1,1.297368
Mn1Ni6O8,2.033332
Cr1Si1Te3,0.228931
Au2Ba1O4,1.541274
Ge1La2Mg1O6,4.197445000000001
As4Ba3Si2,0.8009390000000001
Cl9P1Sn1,2.075737
Al1As3Sr3,0.9607050000000004
As4K2Zn5,0.552686
Br1Na1,4.120055
Mn5O13Sr5,0.810109
Hf1O1S1,2.856134
Ca2N3V1,1.7782810000000002
Bi1O2Rb1,2.121595
Cu1H2K1O5P1,1.660507
In6S7,0.194538
O3S1,5.15071
Na5O6Re1,2.294137
Ca2H6Mn2O17Si4,0.0
Ba4C2Cu1Na1O10,0.950979
Fe2O4Si1,2.566222
Cl3Ni1Rb1,3.33881
Ba1Co1O5Y2,1.835982
La3Nb1O7,2.735667
P4Ru1Si4,1.393363
Fe1I2,2.07448
F6Li1Os1,1.222721
Co2Sn3Te3,0.471723
Hg1Sn1Te4Tl2,0.071977
Al2Fe3Si3,0.242306
Ba1O7Sr1Ta2,2.128529
Cs1Hg1La1Se3,1.43465
Al2Bi1S4,2.658508
C1F1N5O3S5,1.781047
Ag1In1O8W2,0.792268
O1S2Sb2,1.223337
Os1P2,0.778162
As1Co1Se1,0.343078
C2Ca1H8N4O5,4.817914
Ag4Rb2S3,0.138406
F10Mn3Na1,0.863222
Ca1Cl2O4,2.661097
Br1N1Zn2,2.134203
Ag2K1Nb1Se4,1.378359
Ge,0.601374
Ag1Cl2Cs1,2.216312
I2P4Se3,1.920645
K3Se3Sn1,1.63381
Mn2S4Si1,1.878572
I4In1Na1,2.36111
Bi1Ca1Cu1,0.0
Br2F10Ge1,2.83271
Al1Cl4Sb2Se2,1.101103
Hg1N1O3,2.499908
As2Cl4F6,2.831853
Bi1Fe1O3,0.687868
Li3Ni2O6Sb1,2.9370249999999998
Ca1Co1O7P2,3.078679
Cs2S4W1,2.140623
Br6Hg7P4,1.318165
Ba,0.0
Ag1Cs2F4,0.2031569999999999
Cu1Na2O10Si4,2.280942
F6Li2Ru1,0.083989
B1Ba3O3P1,1.377845
As2F12Hg3,2.651516
Cl9In7,2.032002
Ag1F4K1,1.829391
O9Re2V1,2.218088
Na2S1,2.514301
H2K2Mn3O10V2,2.424796
Cd1N3O6Rb1,2.314142
Be1F2,8.014116
S4V1,0.947235
Cl4Re1Se1Te1,2.40879
I1K1O4,2.319163
